review,score
관객과 몰입되어 함께하는 방탈출 게임 !조잡한 면도 있지만 즐기기에 좋다. ,7
그냥 저냥 볼만한듯. 큐브가 생각나는데 아류작정도. 딱히 2편도 기대가 안네요. 킬링타임으로는 끝내줌 ,8
생각보다 괜찮은 영화. ,8
뭐야 재밌잖아ㅋㅋㅋㅋ ,10
웰메이드 오락영화. 2편도 만들고 싶어! ,7
2편이 기대됩니다.안무서운 쏘우 ㅎㅎ ,7
그냥 뭐 대단한거 안바라고 보면 볼만함. 딱히 큐브급은 아닌듯. 살짝 모자라는 정도? ,8
관람객재밌게 보고왔습니다 뻔한결말이지만볼만한듯 ,10
첫부분이 긴장감있어서 기대하고 봤는데 재밌게 잘봤습니다. 보통 기대하고보면 별론데 괜찮았어요~ ,9
본 뒤 재밌었다 하고 흘리면 되는 영화 너무 깊게 생각할거 없음 ,10
관람객스릴잇고 볼만햇음~~ ,8
적은 예산으로 잘 만든 영화인듯 ㅋㅋㅋ ,8
재밌음 ㅋㅋ 회시켜서 회먹으면서 봤는데도 몰입도굿 ,8
큐브랑 너무 비슷해서 신선하지는 않다 ,7
2편이 기다려진다 방탈출인데 잔인하지않은 쏘우버전 ,8
그 옛날 큐브를 보던때의 그 긴장감보다는 못미치지만 아류작으로서 나름 잘 만든거 같음 ,8
빠른 전개....긴장감... 아주 흥미로움 ,10
숨도 못쉬고봤네;;; ,10
그럭저럭 볼만함 시간때우기용 ,7
큐브가 생각나는 잘 만든 킬링타임용 영화 ,7
관람객재미있었는데 너무 무서웠다 ,8
지루할틈없이 봤음 재밌재밌 ㅎ ,10
관람객초반의 전개가 좀 신선했음 ,9
나름 재미있게 보았네요.. 마지막 장면이 후속편을 예고 한다고 할수도 있고..   이 게임에 참가한 사람은 절대  벗어나지 못하고 죽을수 밖에 없다는 느낌도 있네요... 탈출방(?) 만든 사람들은 엄청난 재력가들인듯...,8
2편을 제작할거 같이 결말을 만들어 놈 ,10
기대안하고 봤는데 괜찮다. 후반부에 흑인여자가 총들고 목조르던 남자 찾으러 걸어갈때 뒤에 어떤 스태프 보이는 옥에티 발견ㅋ ,7
아만다 상여자 ㅜㅜ 잔인한 부분이 없어서 너무 좋았고 몰입감과 스릴있었네요 후속작 기대되요 ㅎㅎ 꼭 봅니다 ,8
잔인하지 않고 스릴있고 몰입도 있고 재밌게 봤음! ,10
큐브의 순한맛... 꽤 볼만해요~ ,8
뻔한 내용이긴 하지만 이런 영화류의 재미는 탈출과정과 다음은 어떤 방이 기다릴까? 아니겠어? ^^ ,8
아만다 언니 멋쪄요 bb양자 제논 효과 bb ,9
아니 일단 베댓에 자막 상금 1만달러가 오타라고 하는데 상금 텐싸우전드 달러라고 분명하게 말하는데 무슨 ㅋㅋㅋㅋ ,9
"나만 당할 순 없다는 심보로 일부러 점수 높게 준 건가? 내용 진짜 형편 없었다. 이걸 보느니 1997년작 ""큐브"" 보는 걸 백만 번 추천한다. ",1
이정도가 적당하겠다 좀 유치하네 ,6
연출도 감각적이고 꽤 볼만 한데요? 그저그런 영화일 줄 알았는데 괜찮아서 놀랐습니다. ,9
오랜만에 적당하게 쫄깃한 영화 ,10
크게 잔인한게없어서 좋아요 ,10
소재가 참신하다면 참신하고 진부하다면 진부하지만 후속편을 기대하게 만드는 흡입력이 있었다. ,8
이런거 첨 적어본다처음부터 끝까지 스릴굿 빈전굿 잼씀 ,9
"돈, 어스 보고나니 이스케이프룸이 젤 재밋엇다 최근영화중에 ㅎㅎ보는내내 몰입도와긴장감!!2편이기다려짐 보러가야징~~ ",9
스릴최고 ㅠㅠ긴장감몰입간 최고입니다 기대이상입니다 ,10
방탈출좋아하는데 요즘 본 영화 중 젤 재밌네용 ,10
관람객이 정도면 예산만 많이 들인 실속없는 한국 영화들 보다는 훨씬 재밌는 오락 영화였다. ,8
2편 빨리 나와라 개꿀잼 ,10
"여러 이상한 영화만 봐서 요즘 씁쓸했는데, 이건 진짜 끝장난다, 물론 10점쩌리는 아니지만.. 그래도 상대적으로 끝내주는 경험을 제공해줬기에 기분삼아 10점 준다 ㅋㅋ ",10
영화 진짜 재밋어요 !! ㅋㅋ ,10
2편이 기대되는 영화네요 방탈출 무서움 ,8
큐브가 생각나긴 하지만 볼만함 ,7
"몰입감  너무 좋아요,,, 공포영화도 아닌데  심장이 쫄깃했던 ",10
볼만함 흥미진진 리얼하더라 ,8
생각보다 재미있었다. 평점이 왜 7점대인지 의아.. 손에 땀이 계속난다 ,8
2편을 꼭 봐야할 이유!Maze Runner 를 압도할 영화!!! ,10
정말정말 재밌게봤어요 ㅋㅋㅋㅋ딱히 볼거없어서 봤는데 전혀 후회안함!! 손에 땀 범벅되도록 긴장하면서 봤습니닼ㅋㅋㅋ2편도 나올거같던데 매우 기대중!다만 중간중간 연기나 연출이 좀 읭? 스러웠던 부분들이 있어서 1점만 ...,9
잔인하지 않고 재밌는 스릴러 영화입니다 ,10
한국 영화 알바들한테 평점테러 당한 영화 ,10
2개봉하자마자 바로 볼꺼다 ,10
2d영화가 몰입감이 이렇게 좋을수가 있다니 ,10
재밌고 진짜 잘만든 영화인데 너무 심장 쫄리게 긴장하고 무서워서 보는내내 힘들었음.. ,10
잼있다~간만에 재밌는 영화봤다 ,10
관람객흑형 솔직히 넘나 멋있음 진짜 ,10
여자혼자 심야영화로 혼자 봤어요. 캡틴마블 보다가 잤는데 이스케이프는 한순간도 눈을떼지못하게 하더군요 손발에 땀을쥐고 봤습니다.영화관이 혼자라 나오는데 카운터에 사람도 없고 불다끄고 직원들 퇴근한 메가박스 부티끄.....,10
"개꿀잼. 각 방마다 연출이 뛰어나고, 배우들도 대단함 ",10
난 개인적으로 정말 재밌었음 방탈출  게임을 좋아해서 그런것도있지만지루할틈없이 빠른전개가 좋았음 ,10
관람객푹 빠져서 본 것 같아요~잔인함이 없어서 더 좋았고 스릴 넘치고 조이 반전~담에 기대 되는 영화네요~^^ ,8
너무 재밌구 흥미롭구 신선해요 ,10
정신없지만 재밌다. 캐쥬얼한 큐브? ,9
관람객영화 시작하자마자부터 몰입감 쩔었음 ,10
큐브 순한 맛인 영화임 중간에 마약장면 머리 빠게지는 줄 ,5
캡틴마블보다 재밌다고 봄 ,8
밀실 영화에도 해피 엔딩은 존재한다는 것을 일깨워주는 영화 ,8
꿀잼이다 그래도 소재를 좀더 살릴수있었지않았을까 ,8
진짜 이렇게 밍밍한 공포 영화는 처음이야 정신 없이 비명 지르고 저 여자애 혼자 다 해먹는 ,3
관람객심리를 이용한 스릴러 재밌게 봤어요 ,10
졸잼이었다. 기대이상 ,10
보는 순간순간이 아찔하고 긴장감 넘치네요. 하지만 여자 주인공이 어떻게 살아나게 되었는디 정말 궁금하네요.해석이 안되어 아쉽습니다.2편 예고 기대합니다 ,8
기대안하고 봤는데 너무 재밌었음 개인적으로 시즌 2 나올거같음 ,10
잔인한 장면은 없었는데 스릴갑 ,10
