,review,score
142,개인적으로 검은사제들보다 더 재밌었음 영화보고 난 뒤 왜 그랬지하면서 다시 곱씹어보게 되는듯,10
143,저급하디 저급한 극한직업같은 것에는 쌍지들고 좋다던 것들이  이상은 몰입감을 제공하는 영화에는 근엄진지하게 팔짱끼고 평가하네 익히 알고있기에 더는 놀랍지 않다만 그 한심함을 이루 표현하기가 힘들다 적절한,8
144,재밌는데 이런 소재는 원래 호불호가 갈릴 수 밖에 없어서 점 주는것도 이해가 감,10
145,해석할게 많아서 정말 좋았음ㅋㅋㅋ 공포영화중에 유전이라는 수작영화가 있는데 이런 해석할거리 많은영화가 한국에서도 좀더 나왔으면ㅋㅋㅋ,10
146,검은사제들 곡성을 잊는 완전 내취향게계관 공유해서 나와도 대박일듯,10
147,곡성보다 낫다 기교없이 직관적이고 더 철학적인 영화,8
148,이해 못하신분들이 평점 낮게 주는듯 영화를 되게 촘촘히 잘 만들었습니다,10
149,평점이 극과극이길레 봣는데 초반긴장감은 역대급인데 중후반 부터 너무 스토리가 못따라가고 급했다 그래도 긴장감하나로 반은 먹고가네 ㅋㅋㅋ,8
150,영화 음산한 분위기는 역대급 소름돋는 장면도 몇 있고 좋았는데마무리가 좀 아쉬웠어요,8
151,마지막 이정재 대사 뒤에 나오는 사바하이루어 지게 하소서ㄷㄷ,10
152,시나리오쓰실 때 종교에 대한 고민을 많이 하신듯 하네요 한국영화기 때문에 이런 접근이 가능한 듯 하고 스토리 전개며 배우들 연기도 나무랄게 없네요제가 본 한국영화중에 손에 꼽는 영화가 되었습니다,10
153,이정도면 재미있지 뭐 영화에 대단할걸 바라냐,9
154,검은사제들 불교편너무 잘봤습니다,10
155,실제로 있을지도 모른 다는 생각에 더 무서웠던 영화,9
156,할머니 할아버지는 갑자기 어디 갔으며 코끼리도 죽이는 샷건을 가까이서 정통으로 맞았는데도 차안에서그렇게 싸울힘이 남아있고 쌍둥이언니가 박정민한테 건내준게 라이터 라고 ㅋㅋㅋㅋ,1
157,망해라 야이게 영화냐,1
158,ㅋㅋ정작 해석도 못하는 곡성이랑 비교하는 네이버 평덤클라스ㅋㅋ뭘 알고나 곡성곡성 거리는건가ㅋㅋㅋㅋ하긴 곡성이 좀 있어보이긴했지 허나 종교적 관점에선 사바하가 훨씬낫다 ㅋㅋ,10
159,정말 잘만든 영화라고 생각함 별점 테러한 사람들보면 이해 못한듯아는만큼 보이는 영화 유튜브에서 미리 좀 알고가면 젛을듯,10
160,작품의 수준이 높으면 관객이 못 따라가고그러니 검사 변호사 정치인 나오는 싸구려 영화만 백날 나오지ㅠㅠ,10
161,생각과 이해력이 딸리는사람은 보지 마세요 영화 정말 고급스럽게잘 만들었네요 재밌습니다,10
162,곡성에는 못미치네요 ㅠㅠ,6
163,영화 제작하느라 고생 많으셨습니다,10
164,아니 뭐임 완성도 왤케 떨어지냐 할머니 할부지 어디감 할머니는 왜 옷벗고 찬양불러 소는 왜 쌍둥이 언니는 왜 털 벗겨져  과거 유지태 뒷모습 나오자마자 알앗다 갸라는거 경찰은 도대체 왜 넣은거임,1
165,솔직히 재밌음 ㄹㅇ 한국형 엑소시즘,10
166,당신은 무얼 보고 하늘이라 하며 무얼 보고 땅이라 하는가,9
167,영화적 소재는 참신초반 몰입도좋고 중반까진 개연성좋고마지막까진 조금 아쉽넹넘 무서윘다 긴장감은 좋아요,6
168,소 무당 사슴 코끼리 경찰 갑자기 땅굴에서 나온 라이터,2
169,박정민은 그것만이 내세상 때부터 봤지만 연기가 점점 느네,10
170,영화를 본 후 왜 떡밥을 제대로 회수해가지 않나 의문이 든다면 이 영화를 집중해서 보지 않은 것이다 용두사미라며 끝이 미약하다 말하는 것은 후반에 비해 초반이 강렬하고 자극적인 장면이 많이 나와서라고 생각한다 떡,10
171,재밌었는데 ㅠㅠ 평점 왜 낮은건지 노이해,10
172,난 존나 재밌었는데ㄷ뜨ㄷ 재미없게 본사람은 보면서 떡밥같은거 못건지고 그냥 눈즐거운 거 보러 온사람인듯나는 나름 재밌게 봄 몰입도 되고검은사제보다 훨씬 재밌었음 창고에 괴물의 스펙타클한 공포를,10
