review,score
관람객연기를 너무 잘해서 무서웠어요ㅠㅜ 밥먹는씬 진짜 소름.. 재밌게 잘 봣습니다! ,8
"관람객성동일님 연기력,, ",10
배성우 쓰러진거 발견됐을 때 개소름 ,9
관람객계란말이 먹는 씬 ㄷㄷ 연기 잘하네 ,8
관람객보다가 화나더라... ,8
현주가 제일 불쌍함 ㅠㅠ ,10
치열하게 만든 티가 여기저기에 묻어있는 잘만든 호러영화. 너무 재밌게 잘봤다. ,10
둘째는 버려지고 대사 각본 완전별로; 무서운것보다 약고어만 있어요.배우들 연기랑 연출이 너무아까울정도; 대사가 거지같은데 배우들이 어떻게든 살리려하는게 보임. 아 그 성동일 (악마)가 작은딸 찾으려 부엌둘러보다 확 ...,1
관람객초반 지루중반 오 재밌네막판 ㅋㅋㅋ 개연성 박살 가족대처 반전 다예측가능하고 ㅋㅋㅋ 강제감동 으하 ,6
쌍욕나오는영화. 개연성도없고 ssi발 그냥 감독 면전 대고 쌍욕 태바가지로 날려야하는 영화. 알바 평점들 진짜 쓰래기다. 별점 반개도 아까운. ,1
검은사제들이 얼마나 잘만들어졌는지 깨닫게 되는 영화. 중반부 부터 개연성이 하나도 안맞음. 특히 옆집 얘기는 왜 나온거며 백윤식과 외국인은 왜나온거에요....? 평점에 낚여서 심야영화로 봤다가 같이본 사람이랑 싸웠음...,1
정확히 영화보는데 시계만 8번봤다 ,1
하....근래본 영화중에 최악!!!! ,1
돈 주고 보지 마셈 비추함 ,1
진심 심했음 뭔 이딴 영화가; 위 알바들 적당히 합시가 ,1
"갈수록 화가나는 영화, 엔딩 크레딧 올라갈 때 짜증의 극한을 체험함 ㅎㅎ 만듬새 떨어지는 B급 공포영화로서 iptv 무료영화로 올라오면 봐줄만한 정도입니다. ",4
중반부까지는 재미있는데 후반부 들어서 결말이 별로였음 ,5
벤투가 혼자 다할꺼면 필리핀에서 신부는 왜옴? ,8
"관람객중간에 없었어도 아무 상관없었을 장면,어색한 cg,초중반 긴장감에 비해 아쉬웠던 끝. 그래도 이거 다감수하고 볼만했던 영화였다. 초중반은 진짜...무서워서 울뻔함ㅋ... ",8
진짜무섭게잘밧는데 둘째딸왜안찾음?ㅋㅋ장례식이라도 하고끝내야지 너무급하게마무리한듯?근데 개무서움 ..게속귀막고봄ㅜㅜ ,8
뭐 그냥 그럭저럭임... ,1
"관람객해피엔딩이길 바라면서 봤는데 딸과 배성우가 너무 안타깝다 ㅠ배성우는 끝까지 희생만 한듯 해서 마음이 아팠던 영화. 공포와 감동, 가족애가 잘 깃든 영화다. ",10
끝까지 놓칠수 없는 긴장감. 배우들 연기갑. 한국에서 쉽게 연출할 수 없는 주제를 아주 잘 풀어낸 영화. ,10
관람객난해해... 난해해... ,8
관람객막내 트라우마 어쩔꺼냐 ,6
둘째딸 싸가지없긴했지만 제일불쌍하긴했다.. ,10
관람객이런일이  일어나서는 안돼요 ,6
내가 너희를 구원해주겠다 .보지마라.~킬링타임도 아깝다. ,1
나만 죽을수 없다  이건가.... 다들 댓글이 왜이래.... ,1
안 무섭고 재미 없는 영화 ,1
