,review,score
244,한국공포 안좋은점일본공포 안좋은점결말이 예측됨호러매니아로서 최악이다,1
245,너무너무무서움ㅜㅜ,8
246,전설의 고향 본 다음에 봤더니 점 주고 싶다,10
247,별로,4
248,한국공포영화에비하면 점만점에 점준다,10
249,유실물 다음으로 예고편이면 영화다보는 영화 반전뻔하지뭐,5
250,기대하고 봤는데 한국말은 완전 코미디고 이기 모얌,4
251,맘에 드는 여배우 하지만 너무 뻔한 스토리와 연출이 문제,6
252,꽤 무섭고 괜찮더구먼,10
253,뻔한 결말 이지만 전설의 고향보단 낫다,5
254,이딴거보지말고 차라리 공부를 해라 영화 완전 이다 ,2
255,뻔하고 안무섭고 반전도 시시해도 왜 호감이 가지,8
256,내내 지루했다전문가들평점은 뭐야ㅡㅡ,1
257,약간의 반전집에서보니 별무서운건 없다,7
258,반전 쉽게 알수 있음결말 좀 억지스럼 하지만 귀신 짱 무서움,8
259,아 이게 모야,6
260,귀신만무섭다중간쯤에 결말 눈치 깠다 뻔했다,5
261,미숙한한국말웃기다ㅋㅋㅋㅋㅋㅋㅋㅋ,5
262,마지막 반전도 너무 무서웠고진짜 괜찮은 공포라는생각 ,10
263,반전이 결국뭐 그럭저럭 재밌는데 넘 막장태그를 탄다,6
264,이만하면 봐줄만하다 그런데 중간도 안되서부터 반전눈치를채는바람에,8
265,포스터가 제일 무섭다,5
266,지루한 감이 있었지만 나름 괜찮았는데,7
267,셔터에 비하면 너무 졸작중반까지 지루해서 혼났네,6
268,네이버 자평이 맞았어완전 잼없구나,5
269,도대체 뭐하는 상황인지 여쭈어봐도 되겠니ㅡㅜ,1
270,딱 중간까지만 볼만하다 그 이후부터는 완전 쓰레기 영화,1
271,정말 소재는 괜찮았는데  너무 기대가 컸나,7
272,셔터 땜 본 건데별로다스토리는 괜찮은데전반적으로 실망이 큼,3
273,셔터 재밌게 봤는데 샴 이건 반전이긴한데 반전이 너무 식상하다,5
274,내평생 점 줘본 영화는 이게 처음이다 재미 더럽게 없다,1
275,그동생은 또라이었다 이말만 맴도는 영화,5
276,처음엔 코미디인줄여튼 마지막반전이 볼만했네요,8
277,ㅋㅋㅋ 남자가 한국말하는거 졸웃김 ㅋㅋㅋㅋ,10
278,후회한당한국어나와서 점수줘야지,5
279,점이 있다면 점 주고싶다 돈 너무너무너무아까운영화ㅛㅛ,1
280,후반에 미저리로변하는게 아쉬움공포성땜에 점,7
281,국산공포영화보다 별 나은점을 못발견,4
282,너무기대하면재미없을거같아살짝기대해본다ㅋㅋ,10
283,가슴은 두들기나 예고편에 너무 많은 걸 담았다,6
284,깜짝 놀래키기만 하는 억지 공포영화 점은 왜없는거야,1
285,재밌게는 봤다만 중반부에 이미 반전을 알아채버려서무섭긴하다,7
286,스토리전개도 괜찮고 깜짝 놀라는 부분이 꽤 많다,9
287,감짝 놀랄 장면만 잔뜩 넣어놨을뿐 전혀흥미없는 이야기,4
288,칙칙해서 못보겠더라생긴것들이 영상이 스토리가,4
289,셔터감독이였기에 용서할수없다,2
290,극장에서 아주 잘잤던 기억이 진짜 비추,1
291,아 간떨어질뻔했다스토리 괜찮던데ㅋ,10
292,남자 하나 때문에 동물이건 엄마건 다 죽이는 미져리 똘끼 호러극,2
293,이게무섭다면 셔터어떻게 볼라우이건뭐 미스터리로 가다가코믹액션으로마무리,4
294,육점영화,6
295,초반부터 예상가능한 뻔한 내용 무섭지도 않고 태국 영화는 역시 멀었다,2
296,독한뇬과 멍청한놈의 불난집에서의 난투극 급도 안된다,3
297,별로다,6
298,예상했던 반전 깔끔한 공포영화 뒤죽박죽 스토리의 영화보다 낫다,8
299,그래도 한국공포영화 보단 낫다,8
300,귀신은별로반전은의외차라리셔터가백배천배났다,5
301,괜히 중간중간 깜짝 놀래키기만 하구 반전은꽤 재밌었다,6
302,귀신 점반전 영화소개 프로그램볼때 벌서 다 알고 있었다,5
303,맥빠지는 후반부 사운드로만 놀래키려니까 보는 사람만 힘들다,8
304,공포영화가 뭐그렇지 지루하다 근데 반전이있어서 새롭다 무서운건,5
305,샴샴하다,6
306,착한 영화다 마치 전설의 고향처럼한남자가 두여자를 죽였지,6
307,아주재밌었어요 깜짝깜짝놀라고반전도좋구요,10
308,이제 태국 공포영화 안볼렵니다,1
309,태국 공포영화 뻔하네요질려요,1
310,그냥 뒤에 반전부분만 되게 볼만했다,7
311,소리로 놀라게하는 장면은 많고 불의의 기습은 의외로 적다,5
312, 태국 공포는 왠지 끌려 나름 느낌있었어,6
313,잠시도 눈을 뗄수 없는 긴장감과 스릴 그리고 반전 최고,9
314,기대안하고디비디방에서봤는데무서웠어요ㅜ 반전도 정말 놀랐구ㅜ,10
315,귀신 얼굴이 무섭지는 않고 웃기던데 ㅋㅋㅋ,4
316,생각보다 실망이다,5
317,셔터보고 이거보신 분들 약간 실망하셧을거에요 그래도 나름 재미잇엇음,7
318,소리가ㄷㄷ,10
319,난 예고편만 봤을 뿐인데 줄거리를 읽어 보니까너무 공포 적이고 스릴이 넘친다,10
320,기대수치,10
321,나를 놀라게 해준 소리에게 고맙다,5
322,셔터에 비해 너무 약하네,3
323,샴쌍둥이에 관심이 만ㄶ아졌다,10
324,반전없으면이영화망한다깜짝깜짝만놀라지장난하나 시간아깝다 돈도아깝다,3
325,옆에같이보던여자애꺄악 꺄악아놔ㅎ웃겻음근데졸무서워염 ㅠㅠ,10
326,귀신을가리고바서그런지영ㅠㅠ,2
327,너무무서웠다ㅠㅠ,6
328,사운드정말무서운영화라생각했지만 후반부에액션ㅈㅅ,10
329,전반부는 한편의 다큐멘터리  후반부는 갑자기 사이코영화가 됨,1
330,괜찮던데ㅋㅋㅋㅋ 깜짝깜짝 ㅋ,8
331,기대했던만큼 실망을 줬던 영화그저 영화관에서 내가 봤을때 음향효과만 굿,10
332,이건 세상의 모든 샴쌍둥이들에게 좌절감을 안겨주는영화다 ,3
333,안무서웟다고 난 져낸 무서웠따,10
334,영화 점 여주인공 이뻐서 점,10
335,기대했던만큼 실망을 주지않았던 영화 만족,9
336,원래겁이많긴하지만오랜만에더무서웠어ㅠ,10
337,예고편만보고 반전을 맞췄다,7
338,셔터를너무재밌게본탓일가요샴은셔터보다약간하지만귀신얼굴은짱,6
339,스토리가 뛰어나게 좋은건 아니었지만 꽤 무서웠으므로 점 ,8
340,반전도 괜찮고  꽤 마음에 남는 영화,10
341,킬링타임용 그럭저럭 볼만함,6
342,예상되는 스토리셔터는 만점짜리 영화였는데 ㅎ,6
343,괜찮은 공포 영화 굿,10
344,수술할때잤다,1
345,그냥볼만한공포영화한편,7
346,점도아깝다 스토리전혀없는듯 그냥물흐르듯이 ,1
347,깜딱깜딱 놀라는 부분 몇군데빼고는 약간좀,5
348,셔터때문에 기대하고봣는데 진짜 별로,3
349,영상보다 사운드가 더무섭네,1
350,딱 번 놀랬음 영화관가서 봤는데 셔터가 더 나음 ㅡㅡ,4
351,무섭다 ㄷㄷㄷ 그냥 무섭다그래도 볼만하다,8
352,깜짝깜짝 놀라는 사운드 최고 너무 무서워,3
353,초반에 줄거리를 다 눈치채버림 장르혼합영화,5
354,사운드 최고,8
355,뻔한 스토리 하지만 사운드로 압도된다 볼만함,7
356,이게 무섭냐ㅡㅡ 난 보면서 웃었다,1
