review,score
딱 적당한 공포와 탄탄한 스토리 어쩌다가 2를 먼저봣는데 1이훨씬 제스타일이네요. 컨저링 유니버스 너무좋아요 ,10
갑툭튀 이런거 별로없고 내용은 안무서운데 인형 면상봐라 개무서움 ,8
여주 이름이 애나벨이야 ㅋㅋㅋ ,8
재미는 있는데 여주가 씹극암이였던거같아요 ,10
레아로 시작해서 레아로 끝남 ,2
"보지마세요 1점도 아깝습니다차라리 인시디어스,컨저링 시리즈가 훨 낫습니다친구들이랑 대구여행가서 봤다가친구들 다 자버렸습니다절대 보지마세요 무서운게 하나도 안나옵니다 ",1
컨저링 보고 낚였네 낚였어 그것도 심하게. 스토리는 없었다 숯검댕 디몬뿐 ,1
"와 도대체 어떤 포인트가 무서운거냐 내 1,200원이 아깝다 ",1
개연 파괴 의미 실종 구태 의연 연출 밋밋... 워렌 부부 이야기도 아니고 이건 뭐... ,3
공포영화인데 무섭지가 않다 ,4
지하부터 엘베 계단씬은 역대급 ,8
관람객결말이 좀 아쉬운거 같음 ,6
영상으로 보는 수면제 잠이 솔솔옵니다 ,1
컨저링이 너무  안 무섭고 별로여서 이건 무섭겠지하고 봤는데.... 컨저링의 반에반도 안되는 시나리오군 ,1
진심 노잼 .나 무서운거 못보는데 이거는 그냥 새벽에 혼자 불끄고 봤는데도 뭐지했다. ,1
관람객만족스럽지만  스토리는  그렇게 잘 꾸며지지는 않은 듯 해요 ,8
관람객진짜 공포는 개뿔 그냥 뻔함 ,3
관람객컨저링보단 별로.... ,4
